cycles,mutation_prob,non_dup_prob,quantization_bits,error_rate
2,0.05,0.02,4,0.36
2,0.05,0.04,1,0.43999999999999995
2,0.05,0.04,2,0.43999999999999995
2,0.05,0.04,3,0.41000000000000003
2,0.05,0.04,4,0.48
2,0.05,0.06,1,0.54
2,0.05,0.06,2,0.6699999999999999
2,0.05,0.06,3,0.4
2,0.05,0.06,4,0.53
2,0.05,0.08,1,0.6
2,0.05,0.08,2,0.53
2,0.05,0.08,3,0.51
2,0.05,0.08,4,0.56
2,0.05,0.1,1,0.64
2,0.05,0.1,2,0.69
2,0.05,0.1,3,0.72
2,0.05,0.1,4,0.61
2,0.07,0.0,1,0.29000000000000004
2,0.07,0.0,2,0.31000000000000005
2,0.07,0.0,3,0.33999999999999997
2,0.07,0.0,4,0.42000000000000004
2,0.07,0.02,1,0.42000000000000004
2,0.07,0.02,2,0.36
2,0.07,0.02,3,0.37
2,0.07,0.02,4,0.39
2,0.07,0.04,1,0.45999999999999996
2,0.07,0.04,2,0.53
2,0.07,0.04,3,0.43000000000000005
2,0.07,0.04,4,0.5
2,0.07,0.06,1,0.5800000000000001
2,0.07,0.06,2,0.56
2,0.07,0.06,3,0.65
2,0.07,0.06,4,0.5700000000000001
2,0.07,0.08,1,0.6699999999999999
2,0.07,0.08,2,0.6
2,0.07,0.08,3,0.6
2,0.07,0.08,4,0.55
2,0.07,0.1,1,0.6599999999999999
2,0.07,0.1,2,0.65
2,0.07,0.1,3,0.75
2,0.07,0.1,4,0.64
2,0.1,0.0,1,0.33999999999999997
2,0.1,0.0,2,0.47
2,0.1,0.0,3,0.38
2,0.1,0.0,4,0.42000000000000004
2,0.1,0.02,1,0.51
2,0.1,0.02,2,0.5700000000000001
2,0.1,0.02,3,0.5
2,0.1,0.02,4,0.51
2,0.1,0.04,1,0.6
2,0.1,0.04,2,0.62
2,0.1,0.04,3,0.5700000000000001
2,0.1,0.04,4,0.62
2,0.1,0.06,1,0.6599999999999999
2,0.1,0.06,2,0.64
2,0.1,0.06,3,0.6
2,0.1,0.06,4,0.5900000000000001
2,0.1,0.08,1,0.69
2,0.1,0.08,2,0.6799999999999999
2,0.1,0.08,3,0.6599999999999999
2,0.1,0.08,4,0.72
2,0.1,0.1,1,0.7
2,0.1,0.1,2,0.73
2,0.1,0.1,3,0.71
2,0.1,0.1,4,0.7
3,0.01,0.0,1,0.06999999999999995
3,0.01,0.0,2,0.030000000000000027
3,0.01,0.0,3,0.06000000000000005
3,0.01,0.0,4,0.050000000000000044
3,0.01,0.02,1,0.22999999999999998
3,0.01,0.02,2,0.17000000000000004
3,0.01,0.02,3,0.15000000000000002
3,0.01,0.02,4,0.13
3,0.01,0.04,1,0.31999999999999995
3,0.01,0.04,2,0.30000000000000004
3,0.01,0.04,3,0.35
3,0.01,0.04,4,0.25
3,0.01,0.06,1,0.43999999999999995
3,0.01,0.06,2,0.43000000000000005
3,0.01,0.06,3,0.4
3,0.01,0.06,4,0.4
3,0.01,0.08,1,0.56
3,0.01,0.08,2,0.53
3,0.01,0.08,3,0.5700000000000001
3,0.01,0.08,4,0.39
3,0.01,0.1,1,0.62
3,0.01,0.1,2,0.6
3,0.01,0.1,3,0.69
3,0.01,0.1,4,0.5700000000000001
3,0.03,0.0,1,0.17000000000000004
3,0.03,0.0,2,0.19999999999999996
3,0.03,0.0,3,0.13
3,0.03,0.0,4,0.13
3,0.03,0.02,1,0.31000000000000005
3,0.03,0.02,2,0.18999999999999995
3,0.03,0.02,3,0.30000000000000004
3,0.03,0.02,4,0.28
3,0.03,0.04,1,0.41000000000000003
3,0.03,0.04,2,0.27
3,0.03,0.04,3,0.24
3,0.03,0.04,4,0.37
3,0.03,0.06,1,0.37
3,0.03,0.06,2,0.5
3,0.03,0.06,3,0.43000000000000005
3,0.03,0.06,4,0.45999999999999996
3,0.03,0.08,1,0.6
3,0.03,0.08,2,0.43999999999999995
3,0.03,0.08,3,0.54
3,0.03,0.08,4,0.5
3,0.03,0.1,1,0.56
3,0.03,0.1,2,0.63
3,0.03,0.1,3,0.65
3,0.03,0.1,4,0.6599999999999999
3,0.05,0.0,1,0.18000000000000005
3,0.05,0.0,2,0.18000000000000005
3,0.05,0.0,3,0.18000000000000005
3,0.05,0.0,4,0.18000000000000005
3,0.05,0.02,1,0.36
3,0.05,0.02,2,0.32999999999999996
3,0.05,0.02,3,0.36
3,0.05,0.02,4,0.29000000000000004
3,0.05,0.04,1,0.45999999999999996
3,0.05,0.04,2,0.42000000000000004
3,0.05,0.04,3,0.41000000000000003
3,0.05,0.04,4,0.44999999999999996
3,0.05,0.06,1,0.54
3,0.05,0.06,2,0.49
3,0.05,0.06,3,0.5800000000000001
3,0.05,0.06,4,0.47
3,0.05,0.08,1,0.61
3,0.05,0.08,2,0.5700000000000001
3,0.05,0.08,3,0.6699999999999999
3,0.05,0.08,4,0.49
3,0.05,0.1,1,0.73
3,0.05,0.1,2,0.75
3,0.05,0.1,3,0.64
3,0.05,0.1,4,0.65
3,0.07,0.0,1,0.4
3,0.07,0.0,2,0.38
3,0.07,0.0,3,0.30000000000000004
3,0.07,0.0,4,0.35
3,0.07,0.02,1,0.49
3,0.07,0.02,2,0.48
3,0.07,0.02,3,0.43999999999999995
3,0.07,0.02,4,0.44999999999999996
3,0.07,0.04,1,0.5800000000000001
3,0.07,0.04,2,0.5900000000000001
3,0.07,0.04,3,0.42000000000000004
3,0.07,0.04,4,0.52
3,0.07,0.06,1,0.62
3,0.07,0.06,2,0.55
3,0.07,0.06,3,0.5700000000000001
3,0.07,0.06,4,0.61
3,0.07,0.08,1,0.6599999999999999
3,0.07,0.08,2,0.5700000000000001
3,0.07,0.08,3,0.65
3,0.07,0.08,4,0.64
3,0.07,0.1,1,0.78
3,0.07,0.1,2,0.6599999999999999
3,0.07,0.1,3,0.76
3,0.07,0.1,4,0.76
3,0.1,0.0,1,0.43999999999999995
3,0.1,0.0,2,0.45999999999999996
3,0.1,0.0,3,0.45999999999999996
3,0.1,0.0,4,0.48
3,0.1,0.02,1,0.53
3,0.1,0.02,2,0.62
3,0.1,0.02,3,0.49
3,0.1,0.02,4,0.52
3,0.1,0.04,1,0.62
3,0.1,0.04,2,0.65
3,0.1,0.04,3,0.5
3,0.1,0.04,4,0.63
3,0.1,0.06,1,0.69
3,0.1,0.06,2,0.6599999999999999
3,0.1,0.06,3,0.6599999999999999
3,0.1,0.06,4,0.61
3,0.1,0.08,1,0.75
3,0.1,0.08,2,0.62
3,0.1,0.08,3,0.64
3,0.1,0.08,4,0.7
3,0.1,0.1,1,0.74
3,0.1,0.1,2,0.79
3,0.1,0.1,3,0.65
3,0.1,0.1,4,0.76
4,0.01,0.0,1,0.040000000000000036
4,0.01,0.0,2,0.07999999999999996
4,0.01,0.0,3,0.06999999999999995
4,0.01,0.0,4,0.06999999999999995
4,0.01,0.02,1,0.19999999999999996
4,0.01,0.02,2,0.09999999999999998
4,0.01,0.02,3,0.18000000000000005
4,0.01,0.02,4,0.24
4,0.01,0.04,1,0.36
4,0.01,0.04,2,0.31000000000000005
4,0.01,0.04,3,0.37
4,0.01,0.04,4,0.28
4,0.01,0.06,1,0.45999999999999996
4,0.01,0.06,2,0.33999999999999997
4,0.01,0.06,3,0.32999999999999996
4,0.01,0.06,4,0.42000000000000004
4,0.01,0.08,1,0.53
4,0.01,0.08,2,0.54
4,0.01,0.08,3,0.51
4,0.01,0.08,4,0.5700000000000001
4,0.01,0.1,1,0.5900000000000001
4,0.01,0.1,2,0.62
4,0.01,0.1,3,0.55
4,0.01,0.1,4,0.6799999999999999
4,0.03,0.0,1,0.16000000000000003
4,0.03,0.0,2,0.19999999999999996
4,0.03,0.0,3,0.12
4,0.03,0.0,4,0.18000000000000005
4,0.03,0.02,1,0.31000000000000005
4,0.03,0.02,2,0.28
4,0.03,0.02,3,0.21999999999999997
4,0.03,0.02,4,0.21999999999999997
4,0.03,0.04,1,0.48
4,0.03,0.04,2,0.43000000000000005
4,0.03,0.04,3,0.39
4,0.03,0.04,4,0.33999999999999997
4,0.03,0.06,1,0.54
4,0.03,0.06,2,0.41000000000000003
4,0.03,0.06,3,0.5
4,0.03,0.06,4,0.47
4,0.03,0.08,1,0.54
4,0.03,0.08,2,0.63
4,0.03,0.08,3,0.49
4,0.03,0.08,4,0.49
4,0.03,0.1,1,0.64
4,0.03,0.1,2,0.5700000000000001
4,0.03,0.1,3,0.64
4,0.03,0.1,4,0.5700000000000001
4,0.05,0.0,1,0.26
4,0.05,0.0,2,0.21999999999999997
4,0.05,0.0,3,0.21999999999999997
4,0.05,0.0,4,0.22999999999999998
4,0.05,0.02,1,0.38
4,0.05,0.02,2,0.27
4,0.05,0.02,3,0.42000000000000004
4,0.05,0.02,4,0.36
4,0.05,0.04,1,0.5
4,0.05,0.04,2,0.43000000000000005
4,0.05,0.04,3,0.45999999999999996
4,0.05,0.04,4,0.43999999999999995
4,0.05,0.06,1,0.56
4,0.05,0.06,2,0.65
4,0.05,0.06,3,0.64
4,0.05,0.06,4,0.5800000000000001
4,0.05,0.08,1,0.64
4,0.05,0.08,2,0.5700000000000001
4,0.05,0.08,3,0.6
4,0.05,0.08,4,0.5800000000000001
4,0.05,0.1,1,0.74
4,0.05,0.1,2,0.64
4,0.05,0.1,3,0.6
4,0.05,0.1,4,0.64
4,0.07,0.0,1,0.47
4,0.07,0.0,2,0.25
4,0.07,0.0,3,0.32999999999999996
4,0.07,0.0,4,0.29000000000000004
4,0.07,0.02,1,0.48
4,0.07,0.02,2,0.44999999999999996
4,0.07,0.02,3,0.43999999999999995
4,0.07,0.02,4,0.28
4,0.07,0.04,1,0.64
4,0.07,0.04,2,0.62
4,0.07,0.04,3,0.49
4,0.07,0.04,4,0.5800000000000001
4,0.07,0.06,1,0.72
4,0.07,0.06,2,0.5
4,0.07,0.06,3,0.6
4,0.07,0.06,4,0.6699999999999999
4,0.07,0.08,1,0.74
4,0.07,0.08,2,0.6699999999999999
4,0.07,0.08,3,0.7
4,0.07,0.08,4,0.62
4,0.07,0.1,1,0.85
4,0.07,0.1,2,0.69
4,0.07,0.1,3,0.65
4,0.07,0.1,4,0.73
4,0.1,0.0,1,0.5900000000000001
4,0.1,0.0,2,0.52
4,0.1,0.0,3,0.5
4,0.1,0.0,4,0.39
4,0.1,0.02,1,0.6599999999999999
4,0.1,0.02,2,0.64
4,0.1,0.02,3,0.52
4,0.1,0.02,4,0.53
4,0.1,0.04,1,0.73
4,0.1,0.04,2,0.52
4,0.1,0.04,3,0.54
4,0.1,0.04,4,0.5900000000000001
4,0.1,0.06,1,0.81
4,0.1,0.06,2,0.7
4,0.1,0.06,3,0.65
4,0.1,0.06,4,0.7
4,0.1,0.08,1,0.77
4,0.1,0.08,2,0.73
4,0.1,0.08,3,0.76
4,0.1,0.08,4,0.74
4,0.1,0.1,1,0.81
4,0.1,0.1,2,0.79
4,0.1,0.1,3,0.8
4,0.1,0.1,4,0.77
5,0.01,0.0,1,0.050000000000000044
5,0.01,0.0,2,0.06000000000000005
5,0.01,0.0,3,0.10999999999999999
5,0.01,0.0,4,0.050000000000000044
5,0.01,0.02,1,0.18000000000000005
5,0.01,0.02,2,0.24
5,0.01,0.02,3,0.19999999999999996
5,0.01,0.02,4,0.24
5,0.01,0.04,1,0.32999999999999996
5,0.01,0.04,2,0.20999999999999996
5,0.01,0.04,3,0.30000000000000004
5,0.01,0.04,4,0.21999999999999997
5,0.01,0.06,1,0.38
5,0.01,0.06,2,0.39
5,0.01,0.06,3,0.43000000000000005
5,0.01,0.06,4,0.36
5,0.01,0.08,1,0.49
5,0.01,0.08,2,0.47
5,0.01,0.08,3,0.43999999999999995
5,0.01,0.08,4,0.49
5,0.01,0.1,1,0.49
5,0.01,0.1,2,0.61
5,0.01,0.1,3,0.44999999999999996
5,0.01,0.1,4,0.5900000000000001
5,0.03,0.0,1,0.18999999999999995
5,0.03,0.0,2,0.14
5,0.03,0.0,3,0.10999999999999999
5,0.03,0.0,4,0.18000000000000005
5,0.03,0.02,1,0.31000000000000005
5,0.03,0.02,2,0.25
5,0.03,0.02,3,0.28
5,0.03,0.02,4,0.29000000000000004
5,0.03,0.04,1,0.42000000000000004
5,0.03,0.04,2,0.36
5,0.03,0.04,3,0.36
5,0.03,0.04,4,0.29000000000000004
5,0.03,0.06,1,0.5
5,0.03,0.06,2,0.51
5,0.03,0.06,3,0.39
5,0.03,0.06,4,0.51
5,0.03,0.08,1,0.65
5,0.03,0.08,2,0.5800000000000001
5,0.03,0.08,3,0.52
5,0.03,0.08,4,0.52
5,0.03,0.1,1,0.77
5,0.03,0.1,2,0.56
5,0.03,0.1,3,0.6
5,0.03,0.1,4,0.63
5,0.05,0.0,1,0.31999999999999995
5,0.05,0.0,2,0.25
5,0.05,0.0,3,0.19999999999999996
5,0.05,0.0,4,0.18000000000000005
5,0.05,0.02,1,0.39
5,0.05,0.02,2,0.4
5,0.05,0.02,3,0.30000000000000004
5,0.05,0.02,4,0.35
5,0.05,0.04,1,0.52
5,0.05,0.04,2,0.44999999999999996
5,0.05,0.04,3,0.48
5,0.05,0.04,4,0.5
5,0.05,0.06,1,0.55
5,0.05,0.06,2,0.45999999999999996
5,0.05,0.06,3,0.5
5,0.05,0.06,4,0.51
5,0.05,0.08,1,0.69
5,0.05,0.08,2,0.56
5,0.05,0.08,3,0.51
5,0.05,0.08,4,0.53
5,0.05,0.1,1,0.79
5,0.05,0.1,2,0.62
5,0.05,0.1,3,0.65
5,0.05,0.1,4,0.69
5,0.07,0.0,1,0.51
5,0.07,0.0,2,0.37
5,0.07,0.0,3,0.42000000000000004
5,0.07,0.0,4,0.31999999999999995
5,0.07,0.02,1,0.43000000000000005
5,0.07,0.02,2,0.47
5,0.07,0.02,3,0.4
5,0.07,0.02,4,0.44999999999999996
5,0.07,0.04,1,0.64
5,0.07,0.04,2,0.47
5,0.07,0.04,3,0.37
5,0.07,0.04,4,0.47
5,0.07,0.06,1,0.77
5,0.07,0.06,2,0.61
5,0.07,0.06,3,0.5900000000000001
5,0.07,0.06,4,0.55
5,0.07,0.08,1,0.71
5,0.07,0.08,2,0.6599999999999999
5,0.07,0.08,3,0.7
5,0.07,0.08,4,0.71
5,0.07,0.1,1,0.85
5,0.07,0.1,2,0.75
5,0.07,0.1,3,0.7
5,0.07,0.1,4,0.69
5,0.1,0.0,1,0.5900000000000001
5,0.1,0.0,2,0.43000000000000005
5,0.1,0.0,3,0.51
5,0.1,0.0,4,0.45999999999999996
5,0.1,0.02,1,0.72
5,0.1,0.02,2,0.5700000000000001
5,0.1,0.02,3,0.55
5,0.1,0.02,4,0.53
5,0.1,0.04,1,0.63
5,0.1,0.04,2,0.6
5,0.1,0.04,3,0.55
5,0.1,0.04,4,0.5800000000000001
5,0.1,0.06,1,0.86
5,0.1,0.06,2,0.64
5,0.1,0.06,3,0.78
5,0.1,0.06,4,0.6599999999999999
5,0.1,0.08,1,0.84
5,0.1,0.08,2,0.8
5,0.1,0.08,3,0.79
5,0.1,0.08,4,0.6799999999999999
5,0.1,0.1,1,0.87
5,0.1,0.1,2,0.79
5,0.1,0.1,3,0.83
5,0.1,0.1,4,0.79
6,0.01,0.0,1,0.050000000000000044
6,0.01,0.0,2,0.06000000000000005
6,0.01,0.0,3,0.08999999999999997
6,0.01,0.0,4,0.040000000000000036
6,0.01,0.02,1,0.21999999999999997
6,0.01,0.02,2,0.16000000000000003
6,0.01,0.02,3,0.22999999999999998
6,0.01,0.02,4,0.18999999999999995
6,0.01,0.04,1,0.37
6,0.01,0.04,2,0.43000000000000005
6,0.01,0.04,3,0.31000000000000005
6,0.01,0.04,4,0.26
6,0.01,0.06,1,0.38
6,0.01,0.06,2,0.43999999999999995
6,0.01,0.06,3,0.29000000000000004
6,0.01,0.06,4,0.42000000000000004
6,0.01,0.08,1,0.53
6,0.01,0.08,2,0.5700000000000001
6,0.01,0.08,3,0.44999999999999996
6,0.01,0.08,4,0.45999999999999996
6,0.01,0.1,1,0.65
6,0.01,0.1,2,0.5800000000000001
6,0.01,0.1,3,0.5700000000000001
6,0.01,0.1,4,0.53
6,0.03,0.0,1,0.26
6,0.03,0.0,2,0.13
6,0.03,0.0,3,0.14
6,0.03,0.0,4,0.09999999999999998
6,0.03,0.02,1,0.4
6,0.03,0.02,2,0.26
6,0.03,0.02,3,0.28
6,0.03,0.02,4,0.35
6,0.03,0.04,1,0.38
6,0.03,0.04,2,0.43000000000000005
6,0.03,0.04,3,0.33999999999999997
6,0.03,0.04,4,0.4
6,0.03,0.06,1,0.51
6,0.03,0.06,2,0.56
6,0.03,0.06,3,0.43999999999999995
6,0.03,0.06,4,0.47
6,0.03,0.08,1,0.61
6,0.03,0.08,2,0.61
6,0.03,0.08,3,0.55
6,0.03,0.08,4,0.47
6,0.03,0.1,1,0.73
6,0.03,0.1,2,0.6599999999999999
6,0.03,0.1,3,0.69
6,0.03,0.1,4,0.64
6,0.05,0.0,1,0.38
6,0.05,0.0,2,0.21999999999999997
6,0.05,0.0,3,0.21999999999999997
6,0.05,0.0,4,0.31999999999999995
6,0.05,0.02,1,0.52
6,0.05,0.02,2,0.35
6,0.05,0.02,3,0.26
6,0.05,0.02,4,0.28
6,0.05,0.04,1,0.63
6,0.05,0.04,2,0.45999999999999996
6,0.05,0.04,3,0.42000000000000004
6,0.05,0.04,4,0.53
6,0.05,0.06,1,0.64
6,0.05,0.06,2,0.56
6,0.05,0.06,3,0.52
6,0.05,0.06,4,0.47
6,0.05,0.08,1,0.6599999999999999
6,0.05,0.08,2,0.61
6,0.05,0.08,3,0.62
6,0.05,0.08,4,0.72
6,0.05,0.1,1,0.6699999999999999
6,0.05,0.1,2,0.69
6,0.05,0.1,3,0.64
6,0.05,0.1,4,0.75
6,0.07,0.0,1,0.52
6,0.07,0.0,2,0.32999999999999996
6,0.07,0.0,3,0.22999999999999998
6,0.07,0.0,4,0.29000000000000004
6,0.07,0.02,1,0.61
6,0.07,0.02,2,0.31999999999999995
6,0.07,0.02,3,0.41000000000000003
6,0.07,0.02,4,0.42000000000000004
6,0.07,0.04,1,0.73
6,0.07,0.04,2,0.55
6,0.07,0.04,3,0.5
6,0.07,0.04,4,0.43999999999999995
6,0.07,0.06,1,0.73
6,0.07,0.06,2,0.61
6,0.07,0.06,3,0.5800000000000001
6,0.07,0.06,4,0.56
6,0.07,0.08,1,0.75
6,0.07,0.08,2,0.71
6,0.07,0.08,3,0.74
6,0.07,0.08,4,0.61
6,0.07,0.1,1,0.79
6,0.07,0.1,2,0.6599999999999999
6,0.07,0.1,3,0.64
6,0.07,0.1,4,0.6799999999999999
6,0.1,0.0,1,0.7
6,0.1,0.0,2,0.44999999999999996
6,0.1,0.0,3,0.43999999999999995
6,0.1,0.0,4,0.43000000000000005
6,0.1,0.02,1,0.7
6,0.1,0.02,2,0.51
6,0.1,0.02,3,0.5700000000000001
6,0.1,0.02,4,0.54
6,0.1,0.04,1,0.77
6,0.1,0.04,2,0.65
6,0.1,0.04,3,0.69
6,0.1,0.04,4,0.64
6,0.1,0.06,1,0.81
6,0.1,0.06,2,0.73
6,0.1,0.06,3,0.6799999999999999
6,0.1,0.06,4,0.5900000000000001
6,0.1,0.08,1,0.78
6,0.1,0.08,2,0.7
6,0.1,0.08,3,0.76
6,0.1,0.08,4,0.73
6,0.1,0.1,1,0.85
6,0.1,0.1,2,0.81
6,0.1,0.1,3,0.78
6,0.1,0.1,4,0.73
7,0.01,0.0,1,0.06000000000000005
7,0.01,0.0,2,0.030000000000000027
7,0.01,0.0,3,0.040000000000000036
7,0.01,0.0,4,0.050000000000000044
7,0.01,0.02,1,0.18000000000000005
7,0.01,0.02,2,0.18999999999999995
7,0.01,0.02,3,0.15000000000000002
7,0.01,0.02,4,0.19999999999999996
7,0.01,0.04,1,0.33999999999999997
7,0.01,0.04,2,0.29000000000000004
7,0.01,0.04,3,0.26
7,0.01,0.04,4,0.27
7,0.01,0.06,1,0.36
7,0.01,0.06,2,0.38
7,0.01,0.06,3,0.48
7,0.01,0.06,4,0.43000000000000005
7,0.01,0.08,1,0.49
7,0.01,0.08,2,0.49
7,0.01,0.08,3,0.53
7,0.01,0.08,4,0.53
7,0.01,0.1,1,0.5800000000000001
7,0.01,0.1,2,0.5700000000000001
7,0.01,0.1,3,0.5700000000000001
7,0.01,0.1,4,0.5700000000000001
7,0.03,0.0,1,0.19999999999999996
7,0.03,0.0,2,0.07999999999999996
7,0.03,0.0,3,0.14
7,0.03,0.0,4,0.09999999999999998
7,0.03,0.02,1,0.47
7,0.03,0.02,2,0.21999999999999997
7,0.03,0.02,3,0.25
7,0.03,0.02,4,0.30000000000000004
7,0.03,0.04,1,0.5
7,0.03,0.04,2,0.31000000000000005
7,0.03,0.04,3,0.44999999999999996
7,0.03,0.04,4,0.4
7,0.03,0.06,1,0.5700000000000001
7,0.03,0.06,2,0.39
7,0.03,0.06,3,0.48
7,0.03,0.06,4,0.48
7,0.03,0.08,1,0.62
7,0.03,0.08,2,0.6
7,0.03,0.08,3,0.56
7,0.03,0.08,4,0.6699999999999999
7,0.03,0.1,1,0.65
7,0.03,0.1,2,0.55
7,0.03,0.1,3,0.5900000000000001
7,0.03,0.1,4,0.63
7,0.05,0.0,1,0.42000000000000004
7,0.05,0.0,2,0.18000000000000005
7,0.05,0.0,3,0.26
